Stage,Day,Hour,PV,WT,Electricity Load,Hydrogen Load,Electricity Prices
0,1,1,0,3.141681429,5102.189654,4308.64104,0.98514926
0,1,2,0,6.971777548,5461.998522,1007.903272,0.968425022
0,1,3,0,4.094886676,5018.088024,4248.627774,0.964596891
0,1,4,0,4.778079162,4877.540449,4306.777398,0.980877088
0,1,5,0,6.842030075,5023.175172,3278.266722,0.958202361
0,1,6,0,4.001566523,4852.590097,5459.950168,0.943799666
0,1,7,0,3.290845799,4310.176141,3706.882121,0.990423798
0,1,8,0,5.641038967,4561.040928,4609.571707,1.003808706
0,1,9,0,3.404066203,3566.036965,7606.315209,0.988371095
0,1,10,0.518236268,4.115171072,4052.492962,5068.242712,1.001797734
0,1,11,0.517099099,6.908923339,4713.412618,5107.485425,1.003386628
0,1,12,0.732609308,4.120853124,5218.897348,6032.000975,0.936031372
0,1,13,0.739552662,6.55848215,5435.850005,7311.923806,0.996380609
0,1,14,0.613818371,6.03174684,6517.745016,14244.20052,1.021142791
0,1,15,0.660632478,3.668947962,6386.266033,13978.29852,1.033552522
0,1,16,0.460845278,3.709948031,5829.879337,12104.5074,0.987245704
0,1,17,0.379145895,2.975003554,5634.448018,15199.09522,0.942066232
0,1,18,0,5.22200898,5866.201592,13124.36053,0.991047225
0,1,19,0,6.981000302,5923.849223,12593.50735,1.016236793
0,1,20,0,5.417196748,5502.557439,10915.48058,0.945164675
0,1,21,0,6.310236904,4983.756549,10811.59588,1.002025718
0,1,22,0,3.484552009,4541.684129,1911.522359,0.98670164
0,1,23,0,4.420211167,4558.691129,3207.627773,0.945249513
0,1,24,0,6.573756602,4367.858226,5778.311362,0.963689571
0,2,1,0,4.84365661,4410.130061,2708.978015,1.038069536
0,2,2,0,4.761770394,4788.584808,1538.537324,0.936294562
0,2,3,0,3.362633705,3895.366541,2002.124724,1.043843005
0,2,4,0,5.606840736,4148.378461,1120.010516,0.977645236
0,2,5,0,4.611749457,4572.918327,2041.631014,1.006473935
0,2,6,0,5.912087926,4248.792532,2359.791238,1.010115343
0,2,7,0,4.103882105,3489.824427,877.496165,0.97375347
0,2,8,0,2.873963005,4646.356582,1471.54996,1.043340337
0,2,9,0,5.394906924,2631.157676,2093.103997,0.92275388
0,2,10,0.241938341,6.238309907,3107.813034,3437.543374,0.952867106
0,2,11,0.234594507,3.870235016,4160.545645,3960.280459,0.970823578
0,2,12,0.363289544,4.116979824,3722.914434,4009.971709,0.968196726
0,2,13,0.324751734,5.171462071,3812.300855,4370.690902,1.012356614
0,2,14,0.247754453,4.379505079,5507.505749,14940.16309,0.989017042
0,2,15,0.247718405,3.410968753,4574.505704,11761.87411,0.964029038
0,2,16,0.344208427,6.967581149,5348.358677,10877.55922,0.93551959
0,2,17,0.274674823,4.363411944,5213.747387,10886.2605,0.956220997
0,2,18,0,2.811596165,5102.358854,11249.09297,0.999095613
0,2,19,0,5.877415084,4021.041434,9041.086753,0.994964232
0,2,20,0,3.455231104,4696.804837,12355.76198,0.993033581
0,2,21,0,5.626906966,4095.020906,8889.890257,0.94599639
0,2,22,0,3.471094832,4116.242066,3330.030218,0.980939041
0,2,23,0,4.931502108,4365.545142,1260.171728,0.955049159
0,2,24,0,3.51072562,4001.415078,716.164213,0.978870688
0,3,1,0,9.351845529,4027.731662,260.6662558,1.001795056
0,3,2,0,9.208592434,4041.19221,186.3488296,0.963314949
0,3,3,0,9.445520814,3419.898306,261.3967151,1.023832568
0,3,4,0,10.01336404,3374.349913,300.2204214,1.035264457
0,3,5,0,10.62157562,3249.884028,1399.366919,0.941508802
0,3,6,0,10.6719585,3559.538243,1.954167127,0.973773222
0,3,7,0,10.64681101,4135.560076,844.3459944,0.989350725
0,3,8,0,8.856954341,3688.774468,1225.932319,0.98417919
0,3,9,0,10.3306676,3540.142366,2547.341054,1.025852426
0,3,10,0.188789678,10.97764997,3277.432401,2041.468489,0.986439177
0,3,11,0.334688816,11.1306962,3398.445723,1874.326021,0.974552811
0,3,12,0.447942487,10.47175695,4076.778433,3716.313698,0.964951238
0,3,13,0.244072392,10.13830974,4095.361379,5205.377005,0.985323709
